algorithm,requested_lag_minutes,targets,MAE,P95_abs,P95_over,Revision_P95,Actual_lag
adaptive_accuracy_delayed,0.0,1800,0.26403960514444397,1.2742891121151527,1.0202670546053856,0.0,0.0
adaptive_accuracy_delayed,360.0,1800,0.27821447918058095,1.3641887238325006,1.0915559961896553,0.8216088725235708,360.0
adaptive_accuracy_delayed,720.0,1800,0.2703030285507118,1.4534040069578538,1.0995473470470545,0.8576739095451277,720.0
adaptive_accuracy_delayed,1440.0,1800,0.2843152749441299,1.6526482950619505,1.2384591970712293,1.0425064778668425,1440.0
adaptive_accuracy_delayed,2880.0,1800,0.2988168749255304,1.756766985558989,1.4363052625390675,1.2866159902382688,2760.0
adaptive_tail_delayed,0.0,1800,0.2989328529461191,1.449901755701608,1.1455874269818245,0.0,0.0
adaptive_tail_delayed,360.0,1800,0.31256734137958886,1.5260250568486262,1.2041955912300708,0.815779252116296,360.0
adaptive_tail_delayed,720.0,1800,0.3084621806269368,1.5305108537632404,1.2224556900179842,0.8133298432768206,720.0
adaptive_tail_delayed,1440.0,1800,0.3199458174174503,1.7472137183754501,1.4235555720553035,1.004238298411158,1440.0
adaptive_tail_delayed,2880.0,1800,0.33197982327531494,1.8437008972854434,1.4737706190803301,1.23312994676903,2760.0
global_delayed,0.0,1800,0.2262743046443546,1.0676365093305165,0.9328754849277056,0.0,0.0
global_delayed,360.0,1800,0.2364792254420099,1.386992273952643,0.9886464683041627,0.6101022767312979,360.0
global_delayed,720.0,1800,0.2579194075035402,1.621986719470254,1.1348144822263768,0.8527514501489225,720.0
global_delayed,1440.0,1800,0.3012858973436514,2.0222705036402053,1.3278163680946475,1.2924626461207764,1440.0
global_delayed,2880.0,1800,0.3915863627168816,2.9147007281283885,1.9492953727432272,2.169189497450329,2760.0
moving_backward_delayed,0.0,1800,0.5474327238782954,2.8452066680924344,1.6454881084156314,0.0,0.0
moving_backward_delayed,360.0,1800,0.5452946563653193,3.0039935941006406,1.6080657900664257,0.5464982541311181,360.0
moving_backward_delayed,720.0,1800,0.5553437597184129,3.120996251971108,1.6576085452883198,0.8061400764338276,720.0
moving_backward_delayed,1440.0,1800,0.5673879107269082,3.304751952402082,1.7131147128985313,1.157862466670164,1440.0
moving_backward_delayed,2880.0,1800,0.5891254122505248,3.3967920974421224,1.6993667597143036,1.446250863156769,2760.0
moving_centered_delayed,0.0,1800,0.2555799608394909,1.251461670527507,1.025411506178651,0.0,0.0
moving_centered_delayed,360.0,1800,0.25696263552589815,1.4162335310963545,1.053740754752667,0.5298218000636249,360.0
moving_centered_delayed,720.0,1800,0.26777969674030916,1.5537530559843116,1.1431005042666345,0.6439558562973006,720.0
moving_centered_delayed,1440.0,1800,0.28295611089254463,1.7687591749336353,1.2479687614839883,0.887776638829629,1440.0
moving_centered_delayed,2880.0,1800,0.31490954812708993,1.9401201750907373,1.450615705477876,1.1726281831127956,2760.0
moving_forward_delayed,0.0,1800,0.5573906696827362,2.7507829750407313,1.766771016053524,0.0,0.0
moving_forward_delayed,360.0,1800,0.519418801226675,2.59836007842049,1.864018524142844,1.1569394745160533,360.0
moving_forward_delayed,720.0,1800,0.5194459935132428,2.7020609658224948,2.026526354920432,1.3412184107925877,720.0
moving_forward_delayed,1440.0,1800,0.530303293698175,2.938666880154403,2.1657716383053507,1.7228050300358042,1440.0
moving_forward_delayed,2880.0,1800,0.5467300305017855,3.028494211597983,2.323238153465001,2.168525234945595,2760.0
phase_accuracy_delayed,0.0,1800,0.22429564772492122,1.1313423605765647,0.8754346318216827,0.0,0.0
phase_accuracy_delayed,360.0,1800,0.2240994591226073,1.228720056746508,0.9414944812920476,0.5285868050334374,360.0
phase_accuracy_delayed,720.0,1800,0.22919281531330515,1.4646432113453807,1.0370094426045873,0.6092429459305365,720.0
phase_accuracy_delayed,1440.0,1800,0.24000288778132992,1.6453519358445001,1.161693625735781,0.740328565920718,1440.0
phase_accuracy_delayed,2880.0,1800,0.26874195885258295,1.9412236121443314,1.2971373052506843,0.9950337425049205,2760.0
phase_tail_delayed,0.0,1800,0.2751437181637048,1.359174076437426,1.060763906303366,0.0,0.0
phase_tail_delayed,360.0,1800,0.2791722357223537,1.4705079741923963,1.0660162582098478,0.5793758360472451,360.0
phase_tail_delayed,720.0,1800,0.2818662918377085,1.515144400416951,1.1790212158525106,0.7041853964315461,720.0
phase_tail_delayed,1440.0,1800,0.2948049626345061,1.693762805998363,1.2872875147324927,0.8439832085922299,1440.0
phase_tail_delayed,2880.0,1800,0.3221038824326009,1.9243753891148967,1.4540579666595994,1.0929641403118382,2760.0
tv_delayed,0.0,1800,0.05742675192457072,0.3128230131437369,0.24542374040462173,0.0,0.0
tv_delayed,360.0,1800,0.048013993477826436,0.26220431775979863,0.2141679041472858,0.15613125069095898,360.0
tv_delayed,720.0,1800,0.045600603895591896,0.24606330765491044,0.20483272529223912,0.19647765757655747,720.0
tv_delayed,1440.0,1800,0.04387047341421466,0.2393417463288311,0.19693243438644917,0.21664695962478103,1440.0
tv_delayed,2880.0,1800,0.04434533850337429,0.24925602947218492,0.19932624127601553,0.23915760053088714,2760.0
