search_target,algorithm,candidates,max_over_found,max_abs_found,MAE_mean
adaptive,adaptive_selected,4,11.29201297387413,11.292012973874137,10.571214548414495
adaptive,global_proportional,4,2.21494912793085,2.21494912793085,1.7377637437239857
adaptive,moving_selected,4,2.052886240709512,2.052886240709512,1.4939852286833457
adaptive,phase_selected,4,2.06738840466706,2.06738840466706,1.5545040180515777
adaptive,set_midpoint_lex,4,1.0235964579031336,1.0235964579031336,0.6812679484632878
adaptive,tv,4,1.2834358748872674,1.4627814822319962,0.9288789754540991
global,adaptive_selected,4,5.282291252573053,5.282291252573067,4.616826272591354
global,global_proportional,4,5.555670487317666,5.555670487317684,5.443623218828033
global,moving_selected,4,5.304363258970668,5.304363258970678,5.182482059674049
global,phase_selected,4,5.22997450147297,5.229974501472984,5.005532843861868
global,set_midpoint_lex,4,3.883666606411836,3.919031359136703,2.764135607553034
global,tv,4,4.510629015557427,5.397737905834504,4.094302382638054
moving,adaptive_selected,4,4.713949689150539,4.713949689150539,4.094330456891643
moving,global_proportional,4,5.126819301799355,5.126819301799369,4.8385397008475595
moving,moving_selected,4,5.667690192416664,5.667690192416679,5.3059173319110675
moving,phase_selected,4,4.677178414782816,4.67717841478283,4.597145190282252
moving,set_midpoint_lex,4,3.152134839176238,3.152134839176238,2.611607675431501
moving,tv,4,3.8410468722149114,4.027058520014656,3.704250914388632
phase,adaptive_selected,4,4.757206277019268,4.757206277019272,4.6640886502608865
phase,global_proportional,4,5.356216547890035,5.356216547890039,5.15713542991397
phase,moving_selected,4,5.762379964224387,5.76237996422439,5.33183040460727
phase,phase_selected,4,5.385348906219583,5.385348906219594,5.135835707681084
phase,set_midpoint_lex,4,3.1957532788257303,3.554066756781729,2.601592367093379
phase,tv,4,4.202876963911933,4.6257804461968846,3.909195699345132
